[1] 299m:59s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  92,805,012 msg/sec
          boost::lockfree::queue, 3,i:   3,008,285 msg/sec
          boost::lockfree::queue, 4,s:   2,292,701 msg/sec
          boost::lockfree::queue, 4,i:   2,333,160 msg/sec
          boost::lockfree::queue, 5,s:   1,928,857 msg/sec
          boost::lockfree::queue, 5,i:   1,941,165 msg/sec
          boost::lockfree::queue, 6,s:   1,317,229 msg/sec
          boost::lockfree::queue, 6,i:   1,629,847 msg/sec
          boost::lockfree::queue, 7,s:   1,094,243 msg/sec
          boost::lockfree::queue, 7,i:   1,199,387 msg/sec
          boost::lockfree::queue, 8,s:     906,877 msg/sec
          boost::lockfree::queue, 8,i:   1,240,337 msg/sec
                  TicketSpinlock, 1,s:   7,993,082 msg/sec
                  TicketSpinlock, 1,i:   7,990,673 msg/sec
                  TicketSpinlock, 2,s:   3,202,585 msg/sec
                  TicketSpinlock, 2,i:   3,269,673 msg/sec
                  TicketSpinlock, 3,s:   2,675,603 msg/sec
                  TicketSpinlock, 3,i:   2,627,018 msg/sec
                  TicketSpinlock, 4,s:   2,178,100 msg/sec
                  TicketSpinlock, 4,i:   2,217,061 msg/sec
                  TicketSpinlock, 5,s:   1,851,260 msg/sec
                  TicketSpinlock, 5,i:   1,865,335 msg/sec
                  TicketSpinlock, 6,s:   1,636,200 msg/sec
                  TicketSpinlock, 6,i:   1,650,821 msg/sec
                  TicketSpinlock, 7,s:   1,405,852 msg/sec
                  TicketSpinlock, 7,i:   1,412,679 msg/sec
                  TicketSpinlock, 8,s:   1,257,886 msg/sec
                  TicketSpinlock, 8,i:   1,261,754 msg/sec
   moodycamel::ReaderWriterQueue, 1,s: 289,750,930 msg/sec
   moodycamel::ReaderWriterQueue, 1,i: 297,892,115 msg/sec
     moodycamel::ConcurrentQueue, 1,s:  15,426,570 msg/sec
     moodycamel::ConcurrentQueue, 1,i:  15,579,774 msg/sec
     moodycamel::ConcurrentQueue, 2,s:   7,844,506 msg/sec
     moodycamel::ConcurrentQueue, 2,i:   8,918,347 msg/sec
     moodycamel::ConcurrentQueue, 3,s:   7,489,548 msg/sec
     moodycamel::ConcurrentQueue, 3,i:   8,868,698 msg/sec
     moodycamel::ConcurrentQueue, 4,s:   7,196,524 msg/sec
     moodycamel::ConcurrentQueue, 4,i:   9,254,554 msg/sec
     moodycamel::ConcurrentQueue, 5,s:   7,954,963 msg/sec
     moodycamel::ConcurrentQueue, 5,i:   9,493,412 msg/sec
     moodycamel::ConcurrentQueue, 6,s:   7,532,546 msg/sec
     moodycamel::ConcurrentQueue, 6,i:   9,565,548 msg/sec
     moodycamel::ConcurrentQueue, 7,s:   8,147,187 msg/sec
     moodycamel::ConcurrentQueue, 7,i:   9,663,396 msg/sec
     moodycamel::ConcurrentQueue, 8,s:   8,203,380 msg/sec
     moodycamel::ConcurrentQueue, 8,i:  17,294,832 msg/sec
                pthread_spinlock, 1,s:  18,553,199 msg/sec
                pthread_spinlock, 1,i:  18,502,222 msg/sec
                pthread_spinlock, 2,s:   5,557,107 msg/sec
                pthread_spinlock, 2,i:   5,833,826 msg/sec
                pthread_spinlock, 3,s:   4,729,056 msg/sec
                pthread_spinlock, 3,i:   4,579,482 msg/sec
                pthread_spinlock, 4,s:   4,027,374 msg/sec
                pthread_spinlock, 4,i:   3,709,229 msg/sec
                pthread_spinlock, 5,s:   2,472,431 msg/sec
                pthread_spinlock, 5,i:   2,780,607 msg/sec
                pthread_spinlock, 6,s:   1,611,161 msg/sec
                pthread_spinlock, 6,i:   2,543,385 msg/sec
                pthread_spinlock, 7,s:   1,725,181 msg/sec
                pthread_spinlock, 7,i:   2,799,319 msg/sec
                pthread_spinlock, 8,s:   1,104,826 msg/sec
                pthread_spinlock, 8,i:   2,534,359 msg/sec
                      std::mutex, 1,s:   7,347,552 msg/sec
                      std::mutex, 1,i:   7,384,663 msg/sec
                      std::mutex, 2,s:   4,533,237 msg/sec
                      std::mutex, 2,i:   4,487,590 msg/sec
                      std::mutex, 3,s:   2,462,184 msg/sec
                      std::mutex, 3,i:   2,476,221 msg/sec
                      std::mutex, 4,s:   2,302,494 msg/sec
                      std::mutex, 4,i:   2,297,769 msg/sec
                      std::mutex, 5,s:   2,200,604 msg/sec
                      std::mutex, 5,i:   2,201,413 msg/sec
                      std::mutex, 6,s:   2,109,218 msg/sec
                      std::mutex, 6,i:   2,121,517 msg/sec
                      std::mutex, 7,s:   1,983,322 msg/sec
                      std::mutex, 7,i:   1,996,055 msg/sec
                      std::mutex, 8,s:   1,915,780 msg/sec
                      std::mutex, 8,i:   1,914,186 msg/sec
                 tbb::spin_mutex, 1,s:  39,821,535 msg/sec
                 tbb::spin_mutex, 1,i:  41,029,041 msg/sec
                 tbb::spin_mutex, 2,s:   9,977,369 msg/sec
                 tbb::spin_mutex, 2,i:   9,497,908 msg/sec
                 tbb::spin_mutex, 3,s:   5,852,678 msg/sec
                 tbb::spin_mutex, 3,i:   5,412,361 msg/sec
                 tbb::spin_mutex, 4,s:   3,923,637 msg/sec
                 tbb::spin_mutex, 4,i:   3,743,917 msg/sec
                 tbb::spin_mutex, 5,s:   3,066,409 msg/sec
                 tbb::spin_mutex, 5,i:   2,978,705 msg/sec
                 tbb::spin_mutex, 6,s:   2,487,578 msg/sec
                 tbb::spin_mutex, 6,i:   2,499,802 msg/sec
                 tbb::spin_mutex, 7,s:   1,948,574 msg/sec
                 tbb::spin_mutex, 7,i:   2,056,099 msg/sec
                 tbb::spin_mutex, 8,s:   1,551,824 msg/sec
                 tbb::spin_mutex, 8,i:   1,728,841 msg/sec
   tbb::concurrent_bounded_queue, 1,s:  13,002,108 msg/sec
   tbb::concurrent_bounded_queue, 1,i:  13,028,565 msg/sec
   tbb::concurrent_bounded_queue, 2,s:   6,071,740 msg/sec
   tbb::concurrent_bounded_queue, 2,i:   6,530,062 msg/sec
   tbb::concurrent_bounded_queue, 3,s:   4,791,558 msg/sec
   tbb::concurrent_bounded_queue, 3,i:   4,568,950 msg/sec
   tbb::concurrent_bounded_queue, 4,s:   3,997,351 msg/sec
   tbb::concurrent_bounded_queue, 4,i:   3,391,395 msg/sec
   tbb::concurrent_bounded_queue, 5,s:   3,471,775 msg/sec
   tbb::concurrent_bounded_queue, 5,i:   2,864,636 msg/sec
   tbb::concurrent_bounded_queue, 6,s:   2,855,658 msg/sec
   tbb::concurrent_bounded_queue, 6,i:   2,368,481 msg/sec
   tbb::concurrent_bounded_queue, 7,s:   2,479,682 msg/sec
   tbb::concurrent_bounded_queue, 7,i:   2,041,306 msg/sec
   tbb::concurrent_bounded_queue, 8,s:   2,101,105 msg/sec
   tbb::concurrent_bounded_queue, 8,i:   1,778,185 msg/sec
     xenium::michael_scott_queue, 1,s:   9,949,969 msg/sec
     xenium::michael_scott_queue, 1,i:   9,789,967 msg/sec
     xenium::michael_scott_queue, 2,s:   6,586,219 msg/sec
     xenium::michael_scott_queue, 2,i:   4,930,279 msg/sec
     xenium::michael_scott_queue, 3,s:   4,065,081 msg/sec
     xenium::michael_scott_queue, 3,i:   3,576,378 msg/sec
     xenium::michael_scott_queue, 4,s:   3,296,375 msg/sec
     xenium::michael_scott_queue, 4,i:   2,756,247 msg/sec
     xenium::michael_scott_queue, 5,s:   2,621,411 msg/sec
     xenium::michael_scott_queue, 5,i:   2,280,157 msg/sec
     xenium::michael_scott_queue, 6,s:   2,227,379 msg/sec
     xenium::michael_scott_queue, 6,i:   1,891,520 msg/sec
     xenium::michael_scott_queue, 7,s:   1,868,873 msg/sec
     xenium::michael_scott_queue, 7,i:   1,603,640 msg/sec
     xenium::michael_scott_queue, 8,s:   1,661,729 msg/sec
     xenium::michael_scott_queue, 8,i:   1,398,246 msg/sec
         xenium::ramalhete_queue, 1,s:  20,159,997 msg/sec
         xenium::ramalhete_queue, 1,i:  20,183,304 msg/sec
         xenium::ramalhete_queue, 2,s:  10,874,252 msg/sec
         xenium::ramalhete_queue, 2,i:  16,294,925 msg/sec
         xenium::ramalhete_queue, 3,s:  16,033,251 msg/sec
         xenium::ramalhete_queue, 3,i:  16,903,679 msg/sec
         xenium::ramalhete_queue, 4,s:  17,556,438 msg/sec
         xenium::ramalhete_queue, 4,i:  17,351,344 msg/sec
         xenium::ramalhete_queue, 5,s:  17,123,557 msg/sec
         xenium::ramalhete_queue, 5,i:  17,513,858 msg/sec
         xenium::ramalhete_queue, 6,s:  18,004,139 msg/sec
         xenium::ramalhete_queue, 6,i:  17,756,222 msg/sec
         xenium::ramalhete_queue, 7,s:  17,223,971 msg/sec
         xenium::ramalhete_queue, 7,i:  17,635,727 msg/sec
         xenium::ramalhete_queue, 8,s:  17,073,575 msg/sec
         xenium::ramalhete_queue, 8,i:  17,019,920 msg/sec
    xenium::vyukov_bounded_queue, 1,s:  50,804,076 msg/sec
    xenium::vyukov_bounded_queue, 1,i:  56,736,236 msg/sec
    xenium::vyukov_bounded_queue, 2,s:  14,964,728 msg/sec
    xenium::vyukov_bounded_queue, 2,i:  10,205,774 msg/sec
    xenium::vyukov_bounded_queue, 3,s:   9,068,171 msg/sec
    xenium::vyukov_bounded_queue, 3,i:   7,611,704 msg/sec
    xenium::vyukov_bounded_queue, 4,s:   8,420,335 msg/sec
    xenium::vyukov_bounded_queue, 4,i:   6,201,493 msg/sec
    xenium::vyukov_bounded_queue, 5,s:   6,894,251 msg/sec
    xenium::vyukov_bounded_queue, 5,i:   5,697,160 msg/sec
    xenium::vyukov_bounded_queue, 6,s:   5,551,463 msg/sec
    xenium::vyukov_bounded_queue, 6,i:   4,817,821 msg/sec
    xenium::vyukov_bounded_queue, 7,s:   4,861,227 msg/sec
    xenium::vyukov_bounded_queue, 7,i:   4,329,518 msg/sec
    xenium::vyukov_bounded_queue, 8,s:   4,239,538 msg/sec
    xenium::vyukov_bounded_queue, 8,i:   3,766,155 msg/sec
                     AtomicQueue, 1,s:  57,249,963 msg/sec
                     AtomicQueue, 1,i:  58,277,503 msg/sec
                     AtomicQueue, 2,s:   7,540,302 msg/sec
                     AtomicQueue, 2,i:   6,086,596 msg/sec
                     AtomicQueue, 3,s:   5,394,340 msg/sec
                     AtomicQueue, 3,i:   4,366,633 msg/sec
                     AtomicQueue, 4,s:   4,307,076 msg/sec
                     AtomicQueue, 4,i:   3,366,695 msg/sec
                     AtomicQueue, 5,s:   3,501,276 msg/sec
                     AtomicQueue, 5,i:   2,806,419 msg/sec
                     AtomicQueue, 6,s:   2,977,044 msg/sec
                     AtomicQueue, 6,i:   2,373,193 msg/sec
                     AtomicQueue, 7,s:   2,544,126 msg/sec
                     AtomicQueue, 7,i:   2,072,616 msg/sec
                     AtomicQueue, 8,s:   2,224,566 msg/sec
                     AtomicQueue, 8,i:   1,804,792 msg/sec
                    AtomicQueueB, 1,s:  40,965,373 msg/sec
                    AtomicQueueB, 1,i:  41,245,107 msg/sec
                    AtomicQueueB, 2,s:   7,574,617 msg/sec
                    AtomicQueueB, 2,i:   6,022,838 msg/sec
                    AtomicQueueB, 3,s:   5,306,920 msg/sec
                    AtomicQueueB, 3,i:   4,367,922 msg/sec
                    AtomicQueueB, 4,s:   4,334,697 msg/sec
                    AtomicQueueB, 4,i:   3,410,719 msg/sec
                    AtomicQueueB, 5,s:   3,490,966 msg/sec
                    AtomicQueueB, 5,i:   2,811,279 msg/sec
                    AtomicQueueB, 6,s:   2,993,482 msg/sec
                    AtomicQueueB, 6,i:   2,398,623 msg/sec
                    AtomicQueueB, 7,s:   2,523,439 msg/sec
                    AtomicQueueB, 7,i:   2,077,208 msg/sec
                    AtomicQueueB, 8,s:   2,228,294 msg/sec
                    AtomicQueueB, 8,i:   1,825,789 msg/sec
             OptimistAtomicQueue, 1,s: 476,503,607 msg/sec
             OptimistAtomicQueue, 1,i: 476,013,671 msg/sec
             OptimistAtomicQueue, 2,s:  42,412,958 msg/sec
             OptimistAtomicQueue, 2,i:  25,623,089 msg/sec
             OptimistAtomicQueue, 3,s:  31,170,425 msg/sec
             OptimistAtomicQueue, 3,i:  25,525,793 msg/sec
             OptimistAtomicQueue, 4,s:  33,928,599 msg/sec
             OptimistAtomicQueue, 4,i:  26,871,000 msg/sec
             OptimistAtomicQueue, 5,s:  31,436,042 msg/sec
             OptimistAtomicQueue, 5,i:  26,077,251 msg/sec
             OptimistAtomicQueue, 6,s:  32,309,797 msg/sec
             OptimistAtomicQueue, 6,i:  25,132,890 msg/sec
             OptimistAtomicQueue, 7,s:  29,506,886 msg/sec
             OptimistAtomicQueue, 7,i:  24,192,337 msg/sec
             OptimistAtomicQueue, 8,s:  30,372,445 msg/sec
             OptimistAtomicQueue, 8,i:  23,190,535 msg/sec
            OptimistAtomicQueueB, 1,s: 233,840,455 msg/sec
            OptimistAtomicQueueB, 1,i: 186,534,451 msg/sec
            OptimistAtomicQueueB, 2,s:  41,923,799 msg/sec
            OptimistAtomicQueueB, 2,i:  25,780,823 msg/sec
            OptimistAtomicQueueB, 3,s:  32,260,134 msg/sec
            OptimistAtomicQueueB, 3,i:  25,938,198 msg/sec
            OptimistAtomicQueueB, 4,s:  33,612,993 msg/sec
            OptimistAtomicQueueB, 4,i:  26,320,665 msg/sec
            OptimistAtomicQueueB, 5,s:  31,599,590 msg/sec
            OptimistAtomicQueueB, 5,i:  25,607,066 msg/sec
            OptimistAtomicQueueB, 6,s:  32,249,862 msg/sec
            OptimistAtomicQueueB, 6,i:  24,867,122 msg/sec
            OptimistAtomicQueueB, 7,s:  29,553,295 msg/sec
            OptimistAtomicQueueB, 7,i:  23,908,846 msg/sec
            OptimistAtomicQueueB, 8,s:  29,701,670 msg/sec
            OptimistAtomicQueueB, 8,i:  23,242,581 msg/sec
                    AtomicQueue2, 1,s:  52,808,515 msg/sec
                    AtomicQueue2, 1,i:  53,637,018 msg/sec
                    AtomicQueue2, 2,s:   6,926,041 msg/sec
                    AtomicQueue2, 2,i:   6,008,250 msg/sec
                    AtomicQueue2, 3,s:   5,151,274 msg/sec
                    AtomicQueue2, 3,i:   4,340,892 msg/sec
                    AtomicQueue2, 4,s:   4,213,307 msg/sec
                    AtomicQueue2, 4,i:   3,357,105 msg/sec
                    AtomicQueue2, 5,s:   3,411,020 msg/sec
                    AtomicQueue2, 5,i:   2,794,598 msg/sec
                    AtomicQueue2, 6,s:   2,930,779 msg/sec
                    AtomicQueue2, 6,i:   2,372,695 msg/sec
                    AtomicQueue2, 7,s:   2,454,273 msg/sec
                    AtomicQueue2, 7,i:   2,068,025 msg/sec
                    AtomicQueue2, 8,s:   2,176,376 msg/sec
                    AtomicQueue2, 8,i:   1,806,351 msg/sec
                   AtomicQueueB2, 1,s:  40,700,438 msg/sec
                   AtomicQueueB2, 1,i:  41,049,319 msg/sec
                   AtomicQueueB2, 2,s:   7,018,558 msg/sec
                   AtomicQueueB2, 2,i:   6,053,207 msg/sec
                   AtomicQueueB2, 3,s:   5,123,920 msg/sec
                   AtomicQueueB2, 3,i:   4,322,635 msg/sec
                   AtomicQueueB2, 4,s:   4,231,933 msg/sec
                   AtomicQueueB2, 4,i:   3,372,789 msg/sec
                   AtomicQueueB2, 5,s:   3,401,450 msg/sec
                   AtomicQueueB2, 5,i:   2,792,032 msg/sec
                   AtomicQueueB2, 6,s:   2,934,227 msg/sec
                   AtomicQueueB2, 6,i:   2,388,536 msg/sec
                   AtomicQueueB2, 7,s:   2,449,167 msg/sec
                   AtomicQueueB2, 7,i:   2,062,993 msg/sec
                   AtomicQueueB2, 8,s:   2,171,808 msg/sec
                   AtomicQueueB2, 8,i:   1,810,428 msg/sec
            OptimistAtomicQueue2, 1,s: 203,314,018 msg/sec
            OptimistAtomicQueue2, 1,i: 216,866,111 msg/sec
            OptimistAtomicQueue2, 2,s:  18,633,688 msg/sec
            OptimistAtomicQueue2, 2,i:  16,387,774 msg/sec
            OptimistAtomicQueue2, 3,s:  22,677,760 msg/sec
            OptimistAtomicQueue2, 3,i:  19,683,004 msg/sec
            OptimistAtomicQueue2, 4,s:  30,251,712 msg/sec
            OptimistAtomicQueue2, 4,i:  23,641,388 msg/sec
            OptimistAtomicQueue2, 5,s:  27,021,009 msg/sec
            OptimistAtomicQueue2, 5,i:  24,907,791 msg/sec
            OptimistAtomicQueue2, 6,s:  32,226,312 msg/sec
            OptimistAtomicQueue2, 6,i:  24,096,149 msg/sec
            OptimistAtomicQueue2, 7,s:  25,931,485 msg/sec
            OptimistAtomicQueue2, 7,i:  23,597,961 msg/sec
            OptimistAtomicQueue2, 8,s:  26,227,389 msg/sec
            OptimistAtomicQueue2, 8,i:  22,478,133 msg/sec
           OptimistAtomicQueueB2, 1,s:  66,739,011 msg/sec
           OptimistAtomicQueueB2, 1,i:  71,715,638 msg/sec
           OptimistAtomicQueueB2, 2,s:  19,663,270 msg/sec
           OptimistAtomicQueueB2, 2,i:  15,798,197 msg/sec
           OptimistAtomicQueueB2, 3,s:  22,944,755 msg/sec
           OptimistAtomicQueueB2, 3,i:  19,383,289 msg/sec
           OptimistAtomicQueueB2, 4,s:  29,950,970 msg/sec
           OptimistAtomicQueueB2, 4,i:  23,121,269 msg/sec
           OptimistAtomicQueueB2, 5,s:  26,720,977 msg/sec
           OptimistAtomicQueueB2, 5,i:  24,451,946 msg/sec
           OptimistAtomicQueueB2, 6,s:  27,541,285 msg/sec
           OptimistAtomicQueueB2, 6,i:  23,964,340 msg/sec
           OptimistAtomicQueueB2, 7,s:  26,193,412 msg/sec
           OptimistAtomicQueueB2, 7,i:  23,235,149 msg/sec
           OptimistAtomicQueueB2, 8,s:  26,169,899 msg/sec
           OptimistAtomicQueueB2, 8,i:  22,336,904 msg/sec

---- Running ping-pong benchmarks (lower is better) ----
     boost::lockfree::spsc_queue: 0.000000109 sec/round-trip
          boost::lockfree::queue: 0.000000206 sec/round-trip
                  TicketSpinlock: 0.000000205 sec/round-trip
   moodycamel::ReaderWriterQueue: 0.000000094 sec/round-trip
     moodycamel::ConcurrentQueue: 0.000000129 sec/round-trip
                pthread_spinlock: 0.000000212 sec/round-trip
                      std::mutex: 0.000000599 sec/round-trip
                 tbb::spin_mutex: 0.000000197 sec/round-trip
   tbb::concurrent_bounded_queue: 0.000000192 sec/round-trip
     xenium::michael_scott_queue: 0.000000287 sec/round-trip
         xenium::ramalhete_queue: 0.000000145 sec/round-trip
    xenium::vyukov_bounded_queue: 0.000000129 sec/round-trip
                     AtomicQueue: 0.000000076 sec/round-trip
                    AtomicQueueB: 0.000000096 sec/round-trip
             OptimistAtomicQueue: 0.000000071 sec/round-trip
            OptimistAtomicQueueB: 0.000000074 sec/round-trip
                    AtomicQueue2: 0.000000098 sec/round-trip
                   AtomicQueueB2: 0.000000100 sec/round-trip
            OptimistAtomicQueue2: 0.000000082 sec/round-trip
           OptimistAtomicQueueB2: 0.000000081 sec/round-trip

[20] 266m:6s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  92,002,922 msg/sec
     boost::lockfree::spsc_queue, 1,i:  87,536,086 msg/sec
          boost::lockfree::queue, 1,s:   9,342,677 msg/sec
          boost::lockfree::queue, 1,i:   9,334,287 msg/sec
          boost::lockfree::queue, 2,s:   3,291,075 msg/sec
          boost::lockfree::queue, 2,i:   3,406,927 msg/sec
          boost::lockfree::queue, 3,s:   2,933,469 msg/sec
          boost::lockfree::queue, 3,i:   2,995,013 msg/sec
          boost::lockfree::queue, 4,s:   2,288,750 msg/sec
          boost::lockfree::queue, 4,i:   2,336,291 msg/sec
          boost::lockfree::queue, 5,s:   1,906,825 msg/sec
          boost::lockfree::queue, 5,i:   1,947,211 msg/sec
          boost::lockfree::queue, 6,s:   1,314,074 msg/sec
          boost::lockfree::queue, 6,i:   1,409,944 msg/sec
          boost::lockfree::queue, 7,s:   1,123,416 msg/sec
          boost::lockfree::queue, 7,i:   1,196,226 msg/sec
          boost::lockfree::queue, 8,s:     902,174 msg/sec
          boost::lockfree::queue, 8,i:   1,057,967 msg/sec
                  TicketSpinlock, 1,s:   7,996,039 msg/sec
                  TicketSpinlock, 1,i:   7,983,307 msg/sec
                  TicketSpinlock, 2,s:   3,088,313 msg/sec
                  TicketSpinlock, 2,i:   3,279,452 msg/sec
                  TicketSpinlock, 3,s:   2,665,257 msg/sec
                  TicketSpinlock, 3,i:   2,628,069 msg/sec
                  TicketSpinlock, 4,s:   2,178,195 msg/sec
                  TicketSpinlock, 4,i:   2,216,027 msg/sec
                  TicketSpinlock, 5,s:   1,842,829 msg/sec
                  TicketSpinlock, 5,i:   1,866,127 msg/sec
                  TicketSpinlock, 6,s:   1,633,540 msg/sec
                  TicketSpinlock, 6,i:   1,643,651 msg/sec
                  TicketSpinlock, 7,s:   1,408,357 msg/sec
                  TicketSpinlock, 7,i:   1,413,790 msg/sec
                  TicketSpinlock, 8,s:   1,256,697 msg/sec
                  TicketSpinlock, 8,i:   1,261,612 msg/sec
   moodycamel::ReaderWriterQueue, 1,s: 285,560,898 msg/sec
   moodycamel::ReaderWriterQueue, 1,i: 294,110,726 msg/sec
     moodycamel::ConcurrentQueue, 1,s:  15,481,323 msg/sec
     moodycamel::ConcurrentQueue, 1,i:  15,567,536 msg/sec
     moodycamel::ConcurrentQueue, 2,s:   7,864,521 msg/sec
     moodycamel::ConcurrentQueue, 2,i:   9,020,464 msg/sec
     moodycamel::ConcurrentQueue, 3,s:   7,551,711 msg/sec
     moodycamel::ConcurrentQueue, 3,i:   8,850,399 msg/sec
     moodycamel::ConcurrentQueue, 4,s:   7,174,046 msg/sec
     moodycamel::ConcurrentQueue, 4,i:   9,145,387 msg/sec
     moodycamel::ConcurrentQueue, 5,s:   7,823,249 msg/sec
     moodycamel::ConcurrentQueue, 5,i:  14,576,774 msg/sec
     moodycamel::ConcurrentQueue, 6,s:   7,556,723 msg/sec
     moodycamel::ConcurrentQueue, 6,i:  22,945,171 msg/sec
     moodycamel::ConcurrentQueue, 7,s:   8,127,271 msg/sec
     moodycamel::ConcurrentQueue, 7,i:   9,678,542 msg/sec
     moodycamel::ConcurrentQueue, 8,s:   8,166,263 msg/sec
     moodycamel::ConcurrentQueue, 8,i:   9,732,401 msg/sec
                pthread_spinlock, 1,s:  19,820,819 msg/sec
                pthread_spinlock, 1,i:  19,674,984 msg/sec
                pthread_spinlock, 2,s:   5,448,199 msg/sec
                pthread_spinlock, 2,i:   5,828,483 msg/sec
                pthread_spinlock, 3,s:   4,737,085 msg/sec
                pthread_spinlock, 3,i:   4,497,889 msg/sec
                pthread_spinlock, 4,s:   4,034,628 msg/sec
                pthread_spinlock, 4,i:   3,742,318 msg/sec
                pthread_spinlock, 5,s:   2,518,604 msg/sec
                pthread_spinlock, 5,i:   2,718,489 msg/sec
                pthread_spinlock, 6,s:   1,524,390 msg/sec
                pthread_spinlock, 6,i:   2,752,617 msg/sec
                pthread_spinlock, 7,s:   1,688,868 msg/sec
                pthread_spinlock, 7,i:   2,771,566 msg/sec
                pthread_spinlock, 8,s:   1,175,792 msg/sec
                pthread_spinlock, 8,i:   2,558,283 msg/sec
                      std::mutex, 1,s:   7,412,900 msg/sec
                      std::mutex, 1,i:   7,402,646 msg/sec
                      std::mutex, 2,s:   4,673,435 msg/sec
                      std::mutex, 2,i:   4,388,838 msg/sec
                      std::mutex, 3,s:   2,436,655 msg/sec
                      std::mutex, 3,i:   2,455,491 msg/sec
                      std::mutex, 4,s:   2,275,253 msg/sec
                      std::mutex, 4,i:   2,271,576 msg/sec
                      std::mutex, 5,s:   2,263,653 msg/sec
                      std::mutex, 5,i:   2,188,442 msg/sec
                      std::mutex, 6,s:   2,084,372 msg/sec
                      std::mutex, 6,i:   2,101,976 msg/sec
                      std::mutex, 7,s:   1,977,117 msg/sec
                      std::mutex, 7,i:   1,994,839 msg/sec
                      std::mutex, 8,s:   1,895,856 msg/sec
                      std::mutex, 8,i:   1,901,047 msg/sec
                 tbb::spin_mutex, 1,s:  40,512,761 msg/sec
                 tbb::spin_mutex, 1,i:  41,969,018 msg/sec
                 tbb::spin_mutex, 2,s:  10,048,273 msg/sec
                 tbb::spin_mutex, 2,i:   9,235,520 msg/sec
                 tbb::spin_mutex, 3,s:   5,836,639 msg/sec
                 tbb::spin_mutex, 3,i:   5,413,860 msg/sec
                 tbb::spin_mutex, 4,s:   3,940,163 msg/sec
                 tbb::spin_mutex, 4,i:   3,894,900 msg/sec
                 tbb::spin_mutex, 5,s:   3,091,784 msg/sec
                 tbb::spin_mutex, 5,i:   3,070,313 msg/sec
                 tbb::spin_mutex, 6,s:   2,554,246 msg/sec
                 tbb::spin_mutex, 6,i:   2,583,826 msg/sec
                 tbb::spin_mutex, 7,s:   1,994,676 msg/sec
                 tbb::spin_mutex, 7,i:   2,095,801 msg/sec
                 tbb::spin_mutex, 8,s:   1,577,987 msg/sec
                 tbb::spin_mutex, 8,i:   1,736,686 msg/sec
   tbb::concurrent_bounded_queue, 1,s:  11,672,302 msg/sec
   tbb::concurrent_bounded_queue, 1,i:  11,644,333 msg/sec
   tbb::concurrent_bounded_queue, 2,s:   5,972,830 msg/sec
   tbb::concurrent_bounded_queue, 2,i:   6,554,287 msg/sec
   tbb::concurrent_bounded_queue, 3,s:   4,790,832 msg/sec
   tbb::concurrent_bounded_queue, 3,i:   4,593,634 msg/sec
   tbb::concurrent_bounded_queue, 4,s:   3,992,862 msg/sec
   tbb::concurrent_bounded_queue, 4,i:   3,435,112 msg/sec
   tbb::concurrent_bounded_queue, 5,s:   3,467,212 msg/sec
   tbb::concurrent_bounded_queue, 5,i:   2,856,645 msg/sec
   tbb::concurrent_bounded_queue, 6,s:   2,877,159 msg/sec
   tbb::concurrent_bounded_queue, 6,i:   2,354,527 msg/sec
   tbb::concurrent_bounded_queue, 7,s:   2,539,896 msg/sec
   tbb::concurrent_bounded_queue, 7,i:   2,042,320 msg/sec
   tbb::concurrent_bounded_queue, 8,s:   2,108,043 msg/sec
   tbb::concurrent_bounded_queue, 8,i:   1,765,773 msg/sec
     xenium::michael_scott_queue, 1,s:   9,844,471 msg/sec
     xenium::michael_scott_queue, 1,i:   9,720,999 msg/sec
     xenium::michael_scott_queue, 2,s:   6,551,650 msg/sec
     xenium::michael_scott_queue, 2,i:   4,980,474 msg/sec
     xenium::michael_scott_queue, 3,s:   4,154,928 msg/sec
     xenium::michael_scott_queue, 3,i:   3,566,909 msg/sec
     xenium::michael_scott_queue, 4,s:   3,304,056 msg/sec
     xenium::michael_scott_queue, 4,i:   2,804,036 msg/sec
     xenium::michael_scott_queue, 5,s:   2,611,341 msg/sec
     xenium::michael_scott_queue, 5,i:   2,343,219 msg/sec
     xenium::michael_scott_queue, 6,s:   2,272,700 msg/sec
     xenium::michael_scott_queue, 6,i:   1,919,048 msg/sec
     xenium::michael_scott_queue, 7,s:   1,898,665 msg/sec
     xenium::michael_scott_queue, 7,i:   1,607,768 msg/sec
     xenium::michael_scott_queue, 8,s:   1,731,575 msg/sec
     xenium::michael_scott_queue, 8,i:   1,419,684 msg/sec
         xenium::ramalhete_queue, 1,s:  20,096,713 msg/sec
         xenium::ramalhete_queue, 1,i:  20,237,482 msg/sec
         xenium::ramalhete_queue, 2,s:  23,743,584 msg/sec
         xenium::ramalhete_queue, 2,i:  17,212,047 msg/sec
         xenium::ramalhete_queue, 3,s:  19,730,711 msg/sec
         xenium::ramalhete_queue, 3,i:  16,460,466 msg/sec
         xenium::ramalhete_queue, 4,s:  18,139,977 msg/sec
         xenium::ramalhete_queue, 4,i:  16,465,675 msg/sec
         xenium::ramalhete_queue, 5,s:  17,465,497 msg/sec
         xenium::ramalhete_queue, 5,i:  16,910,882 msg/sec
         xenium::ramalhete_queue, 6,s:  18,026,189 msg/sec
         xenium::ramalhete_queue, 6,i:  17,880,904 msg/sec
